event_type,ingestion_timestamp,event_timestamp
vp,1598132200152.868,1598132200604.0
vp,1598132200153.149,1598132200642.0
vp,1598132200163.323,1598132200349.0
vp,1598132200168.8088,1598132200392.0
vp,1598132200204.438,1598132200597.0
vp,1598132200204.661,1598132200687.0
vp,1598132200207.731,1598132200690.0
vp,1598132200207.915,1598132200696.0
vp,1598132200211.88,1598132200710.0
vp,1598132200212.168,1598132200675.0
vp,1598132200212.378,1598132200677.0
vp,1598132200216.6519,1598132200700.0
vp,1598132200216.791,1598132200669.0
vp,1598132200217.125,1598132200629.0
vp,1598132200230.7588,1598132200712.0
vp,1598132200244.032,1598132200265.0
vp,1598132200244.087,1598132200491.0
vp,1598132200253.688,1598132200760.0
vp,1598132200262.821,1598132200745.0
vp,1598132200262.94,1598132200747.0
vp,1598132200265.789,1598132200733.0
vp,1598132200266.0142,1598132200717.0
vp,1598132200266.3528,1598132200752.0
vp,1598132200269.394,1598132200608.0
vp,1598132200272.736,1598132199295.0
vp,1598132200272.923,1598132200671.0
vp,1598132200281.93,1598132200786.0
vp,1598132200282.314,1598132200774.0
vp,1598132200309.163,1598132200828.0
ars,1598132200323.091,1598132200765.0
vp,1598132200342.3828,1598132200808.0
vp,1598132200342.843,1598132200831.0
vp,1598132200348.2512,1598132200792.0
vp,1598132200348.423,1598132200838.0
vp,1598132200354.282,1598132200850.0
vp,1598132200354.551,1598132200840.0
vp,1598132200359.913,1598132200794.0
vp,1598132200363.0159,1598132200850.0
vp,1598132200365.4028,1598132200780.0
vp,1598132200380.9968,1598132200728.0
vp,1598132200386.282,1598132200887.0
vp,1598132200386.558,1598132200889.0
vp,1598132200386.6921,1598132200852.0
vp,1598132200395.251,1598132200871.0
vp,1598132200395.634,1598132200882.0
vp,1598132200418.4622,1598132200890.0
vp,1598132200421.7651,1598132200919.0
vp,1598132200422.566,1598132200922.0
vp,1598132200430.9421,1598132200220.0
vp,1598132200431.8892,1598132200918.0
vp,1598132200431.941,1598132200890.0
vp,1598132200435.488,1598132200902.0
vp,1598132200435.7961,1598132199893.0
vp,1598132200442.0159,1598132200670.0
vp,1598132200442.16,1598132200940.0
vp,1598132200451.7021,1598132200921.0
vp,1598132200451.89,1598132200378.0
vp,1598132200457.714,1598132200922.0
vp,1598132200457.97,1598132200951.0
ars,1598132200462.359,1598132200600.0
dep,1598132200463.808,1598132200730.0
vp,1598132200468.2231,1598132200964.0
vp,1598132200468.807,1598132200979.0
vp,1598132200472.542,1598132200901.0
vp,1598132200473.211,1598132200887.0
vp,1598132200479.004,1598132200701.0
vp,1598132200479.449,1598132200926.0
vp,1598132200479.9312,1598132200922.0
vp,1598132200488.497,1598132200966.0
vp,1598132200488.622,1598132200935.0
vp,1598132200495.367,1598132200295.0
vp,1598132200495.416,1598132200897.0
vp,1598132200535.809,1598132201028.0
vp,1598132200539.8308,1598132201014.0
vp,1598132200540.408,1598132201009.0
vp,1598132200544.147,1598132200776.0
vp,1598132200550.3062,1598132201031.0
vp,1598132200550.694,1598132200986.0
vp,1598132200550.954,1598132201029.0
vp,1598132200555.802,1598132200918.0
vp,1598132200556.3718,1598132200778.0
vp,1598132200560.599,1598132201041.0
vp,1598132200561.159,1598132201042.0
vp,1598132200570.497,1598132200970.0
vp,1598132200576.447,1598132201022.0
vp,1598132200576.934,1598132201012.0
vp,1598132200581.251,1598132200812.0
vp,1598132200605.0488,1598132201078.0
vp,1598132200624.0781,1598132201099.0
vp,1598132200624.307,1598132200855.0
vp,1598132200629.7,1598132201138.0
vp,1598132200630.397,1598132201063.0
vp,1598132200649.4019,1598132201145.0
vp,1598132200659.789,1598132201112.0
vp,1598132200659.92,1598132201098.0
vp,1598132200662.914,1598132201136.0
vp,1598132200663.1528,1598132201065.0
vp,1598132200673.1838,1598132201149.0
